theme_id,theme_name,block_id
1,"Escultura en Grecia e Roma: etapas, estilos e temáticas",3
2,"Historia da escritura. Tipos de escritura, materiais e soportes",5
3,Léxico grecolatino na linguaxe común e na científica e técnica,5
4,Presenza da civilización grecolatina nas artes e na organización social e política actual,6
5,"Vida cotiá en Grecia e Roma: vivenda, hixiene, alimentación, vestimenta e traballo",4
6,"Fórmulas básicas de saúdo e presentación en latín e grego, e fraseoloxía básica do medio escolar",5
7,Relixión romana: culto público e privado,2
8,Mitoloxía e temas lendarios nas manifestacións artísticas actuais,6
9,Xéneros literarios grecolatinos: autores e obras principais,5
10,Arquitectura en Grecia e Roma: tipos de edificios e ordes arquitectónicas,3
11,Principais regras de evolución fonética do latín ao galego e ao castelán,5
12,Historia de Grecia e Roma e a súa presenza no noso país. A presenza de Grecia e Roma na Península Ibérica. A romanización de Hispania e da Gallaecia,6
13,Presenza das linguas clásicas nas linguas modernas,5
14,As linguas do mundo. O indoeuropeo e as súas familias lingüísticas,5
15,A familia en Grecia e Roma. Roles dos seus membros; situación da muller,4
16,Fundamentos e etapas da arte clásica,3
17,"Marco histórico da civilización grega: das civilizacións minoica e micénica ao mundo helenístico. Etapas, feitos importantes e mulleres e homes relevantes",1
18,"Relixión grega: cultos, santuarios e oráculos",2
19,Organización política en Grecia e en Roma: formas de goberno e institucións,4
20,Herdanza clásica no patrimonio artístico en Europa en xeral e en Galicia en concreto,3
21,As linguas romances,5
22,Marco xeográfico das civilizacións grega e romana,1
23,Investigación sobre a perduración da civilización clásica na nosa cultura,6
24,"Marco histórico da civilización romana: monarquía, república e imperio. Etapas, feitos importantes e mulleres e homes relevantes",1
25,"Latinismos, palabras patrimoniais, cultismos e semicultismos",5
26,"Mitos grecolatinos. Orixes e funcións. Os heroes e heroínas. Perduración da mitoloxía nas manifestacións artísticas, literarias e na publicidade",2
27,Sociedade en Grecia e Roma: clases sociais. A escravitude,4
28,Os espectáculos públicos en Grecia e Roma,4
29,Cosmogonía. Teogonía. O panteón grego e romano,2
30,Composición e derivación culta de orixe grega e latina,5
31,Enxeñaría romana: obras públicas e urbanismo. Vías romanas,3
32,Orixe do alfabeto. O alfabeto grego e o abecedario latino,5
